Start Date,Last Buy Date,Sell Date,Total ETH Bought,Total Paid USD,Current Value of Asset,ROI
2020-01-01,2020-04-01,2020-04-08,8.235062219525028,1400,1390.490255766801,-0.679267445228496
2020-01-02,2020-04-02,2020-04-09,8.274077821690101,1400,1410.2338239288608,0.7309874234900592
2020-01-03,2020-04-03,2020-04-10,8.34656576309846,1400,1359.9059597816322,-2.8638600155977008
2020-01-04,2020-04-04,2020-04-11,8.240593210860416,1400,1303.9090637544434,-6.863638303254041
2020-01-05,2020-04-05,2020-04-12,8.297728713999923,1400,1331.1216402998675,-4.919882835723748
2020-01-06,2020-04-06,2020-04-13,8.335546603065028,1400,1301.8456684666962,-7.011023680950269
2020-01-07,2020-04-07,2020-04-14,8.118172883147567,1400,1285.9997664194061,-8.142873827185278
2020-01-08,2020-04-08,2020-04-15,8.064061601020809,1400,1264.1222965760219,-9.705550244569865
2020-01-09,2020-04-09,2020-04-16,8.084939174294266,1400,1307.8197608338405,-6.5843027975828194
2020-01-10,2020-04-10,2020-04-17,8.194160168935683,1400,1409.4774906586267,0.6769636184733372
2020-01-11,2020-04-11,2020-04-18,8.129366481254829,1400,1461.497505999993,4.392678999999508
2020-01-12,2020-04-12,2020-04-19,8.192388748134068,1400,1508.3006924189633,7.735763744211664
2020-01-13,2020-04-13,2020-04-20,8.262566689804258,1400,1472.3893841231186,5.17067029450847
2020-01-14,2020-04-14,2020-04-21,8.048920767304168,1400,1391.4169330438715,-0.613076211152036
2020-01-15,2020-04-15,2020-04-22,8.000471194481657,1400,1422.4037736668936,1.6002695476352562
2020-01-16,2020-04-16,2020-04-23,7.982781679250908,1400,1474.4996039744353,5.321400283888238
2020-01-17,2020-04-17,2020-04-24,8.060418742854473,1400,1513.1018064086418,8.078700457760126
2020-01-18,2020-04-18,2020-04-25,7.992793233823704,1400,1539.65176063146,9.975125759390007
2020-01-19,2020-04-19,2020-04-26,8.043165367641821,1400,1584.9861673474973,13.213297667678376
2020-01-20,2020-04-20,2020-04-27,8.133364570037186,1400,1598.206138012307,14.157581286593363
2020-01-21,2020-04-21,2020-04-28,7.985829862763225,1400,1571.7710335890579,12.269359542075563
2020-01-22,2020-04-22,2020-04-29,7.959687064687257,1400,1657.9232187037087,18.423087050264908
2020-01-23,2020-04-23,2020-04-30,7.912100863139784,1400,1716.7676452840703,22.626260377433596
2020-01-24,2020-04-24,2020-05-01,7.997605354806407,1400,1701.0906589673227,21.50647564052305
2020-01-25,2020-04-25,2020-05-02,7.932750231007047,1400,1700.4643395186706,21.4617385370479
2020-01-26,2020-04-26,2020-05-03,7.963977130665032,1400,1704.1318264197037,21.723701887121692
2020-01-27,2020-04-27,2020-05-04,8.038842954436145,1400,1651.4998965593616,17.964278325668683
2020-01-28,2020-04-28,2020-05-05,7.898173769386822,1400,1642.0303266555202,17.2878804753943
2020-01-29,2020-04-29,2020-05-06,7.847685557704137,1400,1630.6705820353427,16.476470145381622
2020-01-30,2020-04-30,2020-05-07,7.764330106187168,1400,1616.7664580113537,15.48331842938241
2020-01-31,2020-05-01,2020-05-08,7.844814577219084,1400,1667.650682825233,19.117905916088066
2020-02-01,2020-05-02,2020-05-09,7.77786699476267,1400,1648.2077948601573,17.72912820429695
2020-02-02,2020-05-03,2020-05-10,7.822482520221204,1400,1542.0459792112058,10.146141372228985
2020-02-03,2020-05-04,2020-05-11,7.937056201287923,1400,1476.6099356876052,5.472138263400374
2020-02-04,2020-05-05,2020-05-12,7.8029714269934685,1400,1472.0305597023178,5.145039978736983
2020-02-05,2020-05-06,2020-05-13,7.763809277990832,1400,1511.3031140536955,7.95022243240682
2020-02-06,2020-05-07,2020-05-14,7.68690602461005,1400,1541.147788874069,10.081984919576355
2020-02-07,2020-05-08,2020-05-15,7.762281287469986,1400,1542.0548005687874,10.1467714691991
2020-02-08,2020-05-09,2020-05-16,7.699710436716228,1400,1529.4704811493114,9.247891510665095
2020-02-09,2020-05-10,2020-05-17,7.793942444495578,1400,1594.87444241713,13.919603029794999
2020-02-10,2020-05-11,2020-05-18,7.950246155385982,1400,1681.5565643256891,20.111183166120654
2020-02-11,2020-05-12,2020-05-19,7.801873307140782,1400,1656.883834237488,18.34884530267771
2020-02-12,2020-05-13,2020-05-20,7.771913204658109,1400,1642.5938558044913,17.328132557463668
2020-02-13,2020-05-14,2020-05-21,7.705491941694225,1400,1560.2850632736638,11.448933090975986
2020-02-14,2020-05-15,2020-05-22,7.806348353827257,1400,1587.1867473001578,13.370481950011271
2020-02-15,2020-05-16,2020-05-23,7.750624551698059,1400,1610.8898068249246,15.063557630351754
2020-02-16,2020-05-17,2020-05-24,7.840972245370279,1400,1619.003949224055,15.643139230289648
2020-02-17,2020-05-18,2020-05-25,7.9758698441632125,1400,1623.1692719856553,15.940662284689665
2020-02-18,2020-05-19,2020-05-26,7.833343684744718,1400,1590.247101440025,13.589078674287505
2020-02-19,2020-05-20,2020-05-27,7.8515935857984145,1400,1612.0891950361304,15.149228216866456
2020-02-20,2020-05-21,2020-05-28,7.823869453948416,1400,1668.5183997490392,19.179885696359943
2020-02-21,2020-05-22,2020-05-29,7.933100462464132,1400,1755.03981531094,25.359986807924283
2020-02-22,2020-05-23,2020-05-30,7.869050795707639,1400,1820.4262110790053,30.030443648500377
2020-02-23,2020-05-24,2020-05-31,7.937202416391742,1400,1881.5138328056623,34.393845200404456
2020-02-24,2020-05-25,2020-06-01,8.076009882576692,1400,1933.073725493557,38.07669467811122
2020-02-25,2020-05-26,2020-06-02,7.958728699900161,1400,1931.742630039767,37.98161643141192
