Start Date,First Sold Date,Last Sold Date,Total ETH Sold,Total Retrieved USD,Initial Investment,ROI,Hold Value at End,ROI Hold
2022-01-01,2022-01-08,2022-04-09,14,40993.82,52165.4,-21.4156893266418,45146.079999999994,-13.4558922197472
2022-01-02,2022-01-09,2022-04-10,14,40840.19,52944.64,-22.8624653978193,45604.16,-13.864444068370274
2022-01-03,2022-01-10,2022-04-11,14,40594.64,52739.68,-23.02827775974371,43240.54,-18.011372082651995
2022-01-04,2022-01-11,2022-04-12,14,41209.899999999994,53200.98,-22.53920886419763,42247.24,-20.589357564465928
2022-01-05,2022-01-12,2022-04-13,14,41716.94,51091.6,-18.34873051538804,42910.420000000006,-16.012769222337905
2022-01-06,2022-01-13,2022-04-14,14,41213.810000000005,48195.56,-14.486292928228227,42898.52,-10.990721966919777
2022-01-07,2022-01-14,2022-04-15,14,40806.060000000005,45764.880000000005,-10.835426641564446,42317.94,-7.53184538012555
2022-01-08,2022-01-15,2022-04-16,14,40908.880000000005,43828.26,-6.660953457883104,42639.1,-2.7132265802931794
2022-01-09,2022-01-16,2022-04-17,14,40731.25,43978.9,-7.384563961354199,42453.74,-3.467935760103148
2022-01-10,2022-01-17,2022-04-18,14,40510.41,42874.299999999996,-5.513536081055533,41695.079999999994,-2.750412251628601
2022-01-11,2022-01-18,2022-04-19,14,41135.87999999999,44160.619999999995,-6.8494056469316,43124.34,-2.346615604581636
2022-01-12,2022-01-19,2022-04-20,14,41509.56,46325.579999999994,-10.396027421567085,43422.26,-6.267207016080517
2022-01-13,2022-01-20,2022-04-21,14,40959.3,46514.16,-11.942298861249993,42951.02,-7.660333971418609
2022-01-14,2022-01-21,2022-04-22,14,40522.380000000005,45742.06,-11.411117033207498,41770.54,-8.682424884231267
2022-01-15,2022-01-22,2022-04-23,14,40538.31,46502.4,-12.825338047068547,41314.420000000006,-11.15637042389209
2022-01-16,2022-01-23,2022-04-24,14,40339.280000000006,46675.72,-13.575452076582847,41188.14,-11.75681917707965
2022-01-17,2022-01-24,2022-04-25,14,40165.35,45591.28,-11.901245150388409,40760.44,-10.595973616007266
2022-01-18,2022-01-25,2022-04-26,14,40876.14,44324.98,-7.780804413222529,40688.619999999995,-8.20386156970631
2022-01-19,2022-01-26,2022-04-27,14,41253.45,43584.66,-5.3486937835467945,39999.119999999995,-8.226610004529135
2022-01-20,2022-01-27,2022-04-28,14,40743.66,43863.68,-7.112991887593554,40844.72,-6.8825962618731475
2022-01-21,2022-01-28,2022-04-29,14,40622.37,38681.299999999996,5.018109525791551,40081.16,3.6189579977922355
2022-01-22,2022-01-29,2022-04-30,14,40847.68,34618.5,17.993789447838584,38949.68,12.511171772318269
2022-01-23,2022-01-30,2022-05-01,14,40660.840000000004,34465.619999999995,17.97507197027069,38967.46,13.061827989747476
2022-01-24,2022-01-31,2022-05-02,14,40640.43,32966.5,23.277963993751232,39617.619999999995,20.175390168807713
2022-01-25,2022-02-01,2022-05-03,14,41257.84999999999,34005.299999999996,21.3277047989578,39349.24,15.715020893801857
2022-01-26,2022-02-02,2022-05-04,14,41559.700000000004,35864.22,15.880674388011235,40151.72,11.954811787346832
2022-01-27,2022-02-03,2022-05-05,14,41151.15,33872.299999999996,21.489092857585717,39577.16,16.842257537870204
2022-01-28,2022-02-04,2022-05-06,14,40864.149999999994,34416.34,18.734734721937308,37801.26,9.835211995232514
2022-01-29,2022-02-05,2022-05-07,14,40918.47,36082.200000000004,13.403478723581147,37073.26,2.746672874713841
2022-01-30,2022-02-06,2022-05-08,14,40638.54,36273.02,12.035171044484315,35960.82,-0.8606948084278538
2022-01-31,2022-02-07,2022-05-09,14,40430.19,36307.6,11.354619969372814,33364.24,-8.106732474743582
2022-02-01,2022-02-08,2022-05-10,14,40844.14000000001,38394.579999999994,6.379963005195037,32602.640000000003,-15.085306311463734
2022-02-02,2022-02-09,2022-05-11,14,41073.5,38026.380000000005,8.013174012356671,31219.579999999998,-17.90020506816585
2022-02-03,2022-02-10,2022-05-12,14,40460.4,37101.82,9.052332203649312,27431.32,-26.064759087290057
2022-02-04,2022-02-11,2022-05-13,14,40075.47,39613.28,1.1667551891688908,28571.76,-27.87327886001866
2022-02-05,2022-02-12,2022-05-14,14,39918.01000000001,42146.44,-5.287350485592598,28140.0,-33.23279498814135
