Start Date,Last Buy Date,Sell Date,Total ETH Bought,Total Paid USD,Current Value of DCA Asset,ROI,Current Value of Hold Asset,ROI Hold
2023-01-01,2023-04-02,2023-04-09,0.8937009003353864,1400,1654.13312241276,18.152365886625716,2162.6400040060757,54.47428600043398
2023-01-02,2023-04-03,2023-04-10,0.889940975166033,1400,1675.5185721743453,19.679898012453236,2182.803054143134,55.91450386736672
2023-01-03,2023-04-04,2023-04-11,0.8841181179560071,1400,1690.106717828242,20.721908416302995,2205.8057018519894,57.55755013228495
2023-01-04,2023-04-05,2023-04-12,0.8780403670803506,1400,1663.8513740025812,18.846526714470087,2141.21502191301,52.94393013664356
2023-01-05,2023-04-06,2023-04-13,0.8732592978656405,1400,1713.3434750053652,22.38167678609752,2194.16872358951,56.726337399250724
2023-01-06,2023-04-07,2023-04-14,0.8780815297404336,1400,1816.6716576952804,29.7622612639486,2304.128615521685,64.58061539440607
2023-01-07,2023-04-08,2023-04-15,0.8706140917203631,1400,1822.883079103179,30.20593422165564,2314.6214161066937,65.33010115047813
2023-01-08,2023-04-09,2023-04-16,0.8642693402123995,1400,1821.1364975351555,30.08117839536825,2315.920206627466,65.42287190196187
2023-01-09,2023-04-10,2023-04-17,0.8602423439935512,1400,1799.2656818500316,28.518977275002257,2227.776721114416,59.12690865102971
2023-01-10,2023-04-11,2023-04-18,0.8540089701960928,1400,1784.5286040320536,27.466328859432405,2198.5104911922085,57.03646365658632
2023-01-11,2023-04-12,2023-04-19,0.85010102791929,1400,1714.4157450253906,22.458267501813616,2082.527881040892,48.75199150292087
2023-01-12,2023-04-13,2023-04-20,0.8443469389076073,1400,1645.5055318900904,17.536109420720745,1941.4309602590101,38.67364001850072
2023-01-13,2023-04-14,2023-04-21,0.8468667280359583,1400,1602.034726760183,14.431051911441648,1848.3497923718464,32.024985169417604
2023-01-14,2023-04-15,2023-04-22,0.8394122514448445,1400,1566.6118731165423,11.900848079753018,1733.3934826451546,23.813820188939612
2023-01-15,2023-04-16,2023-04-23,0.8332211555156248,1400,1550.2996141639267,10.73568672599476,1692.6506900943518,20.90362072102513
2023-01-16,2023-04-17,2023-04-24,0.8319733279143049,1400,1539.142336908185,9.938738350584638,1658.3233555938302,18.45166825670216
2023-01-17,2023-04-18,2023-04-25,0.8267134415724937,1400,1522.3101313115899,8.736437950827849,1638.1833548329703,17.01309677378359
2023-01-18,2023-04-19,2023-04-26,0.8259271259879752,1400,1550.6946975849432,10.763906970353089,1689.5459453900344,20.681853242145312
2023-01-19,2023-04-20,2023-04-27,0.8245025999289785,1400,1566.5961649950555,11.899726071075388,1731.6134827949847,23.68667734249891
2023-01-20,2023-04-21,2023-04-28,0.8299376977516574,1400,1576.6741413037112,12.619581521693654,1659.791562656016,18.556540189715424
2023-01-21,2023-04-22,2023-04-29,0.8266524781000057,1400,1572.689806535699,12.334986181121362,1613.7364435019692,15.26688882156923
2023-01-22,2023-04-23,2023-04-30,0.8219863342897767,1400,1568.0786703345784,12.005619309612744,1633.4289471269992,16.673496223357088
