Start Date,First Sold Date,Last Sold Date,Total ETH Sold,Total Retrieved USD,Initial Investment,ROI,Hold Value at End,ROI Hold
2023-01-01,2023-01-08,2023-04-09,14,22870.83,16774.52,36.34267925401145,25912.32,54.47428600043399
2023-01-02,2023-01-09,2023-04-10,14,22947.54,16905.559999999998,35.73960282889182,26358.22,55.91450386736674
2023-01-03,2023-01-10,2023-04-11,14,23124.690000000002,16986.059999999998,36.139222397660234,26762.82,57.55755013228496
2023-01-04,2023-01-11,2023-04-12,14,23223.129999999997,17345.86,33.88284005520624,26529.440000000002,52.943930136643566
2023-01-05,2023-01-12,2023-04-13,14,23388.46,17526.18,33.44870359656239,27468.14,56.72633739925072
2023-01-06,2023-01-13,2023-04-14,14,23370.96,17599.12,32.796185263808646,28964.739999999998,64.58061539440608
2023-01-07,2023-01-14,2023-04-15,14,23559.550000000007,17730.02,32.87943273611652,29313.059999999998,65.3301011504781
2023-01-08,2023-01-15,2023-04-16,14,23704.18,17833.059999999998,32.92267283349018,29499.96,65.42287190196188
2023-01-09,2023-01-16,2023-04-17,14,23724.71,18401.74,28.926449346637856,29282.12,59.12690865102972
2023-01-10,2023-01-17,2023-04-18,14,23883.64,18628.960000000003,28.207049668902588,29254.260000000002,57.03646365658629
2023-01-11,2023-01-18,2023-04-19,14,23884.090000000004,18980.64,25.83395501943035,28234.08,48.75199150292088
2023-01-12,2023-01-19,2023-04-20,14,23931.959999999995,19674.899999999998,21.63700959090007,27283.899999999998,38.673640018500734
2023-01-13,2023-01-20,2023-04-21,14,23829.83,20059.899999999998,18.793363875193815,26484.08,32.02498516941762
2023-01-14,2023-01-21,2023-04-22,14,23918.510000000002,21103.039999999997,13.341537522556015,26128.48,23.813820188939616
2023-01-15,2023-01-22,2023-04-23,14,24025.87,21544.88,11.51545053859663,26048.539999999997,20.903620721025113
2023-01-16,2023-01-23,2023-04-24,14,24012.890000000003,21865.34,9.821708695131212,25899.86,18.45166825670216
2023-01-17,2023-01-24,2023-04-25,14,24151.37,22031.38,9.622592865267622,25779.600000000002,17.01309677378358
