Start Date,Last Buy Date,Sell Date,Total ETH Bought,Total Paid USD,Current Value of DCA Asset,ROI,Current Value of Hold Asset,ROI Hold
2020-03-04,2020-06-03,2020-06-10,7.96279627061186,1400,1956.7775555401586,39.76982539572561,1528.6412512218963,9.188660801564017
2020-03-05,2020-06-04,2020-06-11,7.873952264776123,1400,1889.1186273650874,34.93704481179196,1463.5642701525055,4.540305010893251
2020-03-06,2020-06-05,2020-06-12,7.968417289362864,1400,1868.5938543555917,33.47098959682798,1390.2180817277153,-0.6987084480203326
2020-03-07,2020-06-06,2020-06-13,7.889976989928885,1400,1874.1851341877075,33.870366727693394,1364.2763373810305,-2.5516901870692466
2020-03-08,2020-06-07,2020-06-14,7.9471489573194205,1400,1875.765568396103,33.983254885435926,1507.5596514439526,7.682832245996614
2020-03-09,2020-06-08,2020-06-15,8.085409873586874,1400,1841.371244610675,31.526517472191067,1595.2967076953867,13.949764835384762
2020-03-10,2020-06-09,2020-06-16,7.947457008139824,1400,1847.0684832617765,31.93346309012689,1611.640001981277,15.117142998662644
2020-03-11,2020-06-10,2020-06-17,7.925404471142649,1400,1843.8453502113373,31.703239300809805,1681.8651244449036,20.13322317463597
2020-03-12,2020-06-11,2020-06-18,7.855028019148859,1400,1820.4812937179395,30.034378122709963,2118.1877529703615,51.29912521216868
2020-03-13,2020-06-12,2020-06-19,7.971396856305381,1400,1829.1964366163957,30.65688832974255,2762.0840856332215,97.29172040237297
2020-03-14,2020-06-13,2020-06-20,7.90071913940716,1400,1809.5807116898159,29.25576512070113,2496.348773841962,78.3106267029973
2020-03-15,2020-06-14,2020-06-21,7.914598721137592,1400,1823.7609833117353,30.26864166512395,2539.1735537190084,81.36953955135773
2020-03-16,2020-06-15,2020-06-22,8.024156844538902,1400,1896.5897117752152,35.47069369822965,2875.4257907542583,105.38755648244702
2020-03-17,2020-06-16,2020-06-23,7.882411859485883,1400,1909.9872176720244,36.4276584051446,2957.576285963383,111.25544899738449
2020-03-18,2020-06-17,2020-06-24,7.838865794269079,1400,1886.5014420487967,34.75010300348548,2958.5879873551107,111.32771338250791
2020-03-19,2020-06-18,2020-06-25,7.633682121616201,1400,1780.0219971184658,27.1444283656047,2557.7998903079215,82.69999216485154
2020-03-20,2020-06-19,2020-06-26,7.547412368562439,1400,1747.8297563116896,24.844982593692112,2371.1840854238285,69.37029181598776
2020-03-21,2020-06-20,2020-06-27,7.558811059146081,1400,1712.2974692283617,22.306962087740125,2410.443110131489,72.17450786653494
2020-03-22,2020-06-21,2020-06-28,7.561478296056841,1400,1694.0735974485747,21.005256960612474,2421.4930904037674,72.96379217169768
2020-03-23,2020-06-22,2020-06-29,7.578279553616383,1400,1713.297441481592,22.378388677256567,2465.2387257574583,76.08848041124702
2020-03-24,2020-06-23,2020-06-30,7.423266760243654,1400,1686.195044589346,20.44250318495329,2311.7912183774356,65.12794416981683
2020-03-25,2020-06-24,2020-07-01,7.3762724535289985,1400,1687.691137367435,20.549366954816783,2323.685165034458,65.97751178817558
2020-03-26,2020-06-25,2020-07-02,7.279020520428915,1400,1666.3861677417915,19.027583410127964,2341.8237615081102,67.27312582200787
2020-03-27,2020-06-26,2020-07-03,7.247860197321452,1400,1647.2211870452463,17.658656217517596,2323.824130879346,65.98743791995328
2020-03-28,2020-06-27,2020-07-04,7.240202010161244,1400,1647.7975754925976,17.69982682089983,2441.5785440613026,74.39846743295018
2020-03-29,2020-06-28,2020-07-05,7.235805236908038,1400,1643.9749498255062,17.4267821303933,2478.996181123841,77.07115579456007
2020-03-30,2020-06-29,2020-07-06,7.241723996241795,1400,1698.7636150384003,21.340258217028595,2534.0432098765436,81.00308641975312
